task_id,title,description,type,difficulty,estimated_time,category,skill_level,tags,steps,hints,video_url,web_url
machine-learning-linear-regression,Linear Regression: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Linear Regression in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,linear,easy","{"step_1": "Review the theoretical foundations of Linear Regression within Machine Learning.", "step_2": "Implement a concise example demonstrating Linear Regression.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Linear Regression in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=6ffa3a671f6,https://scikit-learn.org/stable/#4ea7b52c
data-science-confounding-bias,Confounding & Bias: Easy Practical Task 10,"A easy-level, course-ready exercise focused on Confounding & Bias in Data Science. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Data Science,Beginner,"data-science,confounding,easy","{""step_1"": ""Review the theoretical foundations of Confounding & Bias within Data Science."", ""step_2"": ""Implement a concise example demonstrating Confounding & Bias."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Confounding & Bias in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=f72b1980be4,https://pandas.pydata.org/docs/#d98668df
data-science-eda-medium,EDA: Medium Practical Task 2,"A medium-level, course-ready exercise focused on EDA in Data Science. Learners will implement, validate, and summarize results concisely.",project,Medium,25 minutes,Data Science,Intermediate,"data-science,eda,medium","{""step_1"": ""Review the theoretical foundations of EDA within Data Science."", ""step_2"": ""Implement a concise example demonstrating EDA."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for EDA in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=0cdb5662d5f,https://pandas.pydata.org/docs/#6df4df1c
data-science-eda-hard,EDA: Hard Practical Task 2,"A hard-level, course-ready exercise focused on EDA in Data Science. Learners will implement, validate, and summarize results concisely.",coding,Hard,40 minutes,Data Science,Advanced,"data-science,eda,hard","{""step_1"": ""Review the theoretical foundations of EDA within Data Science."", ""step_2"": ""Implement a concise example demonstrating EDA."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for EDA in Data Science."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=69aa7067db4,https://pandas.pydata.org/docs/#343f96ea
python-syntax-variables,Syntax & Variables: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Syntax & Variables in Python. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Python,Beginner,"python,syntax,easy","{""step_1"": ""Review the theoretical foundations of Syntax & Variables within Python."", ""step_2"": ""Implement a concise example demonstrating Syntax & Variables."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Syntax & Variables in Python."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=0dcc912dd40,https://docs.python.org/3/#966883ba
python-control-flow,Control Flow: Easy Practical Task 2,"A easy-level, course-ready exercise focused on Control Flow in Python. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Python,Beginner,"python,control,easy","{""step_1"": ""Review the theoretical foundations of Control Flow within Python."", ""step_2"": ""Implement a concise example demonstrating Control Flow."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Control Flow in Python."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=39eb88b71b3,https://docs.python.org/3/#ecd33b74
python-functions-easy,Functions: Easy Practical Task 3,"A easy-level, course-ready exercise focused on Functions in Python. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Python,Beginner,"python,functions,easy","{""step_1"": ""Review the theoretical foundations of Functions within Python."", ""step_2"": ""Implement a concise example demonstrating Functions."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Functions in Python."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=5ed884d8d27,https://docs.python.org/3/#3a811279
python-collections-easy,Collections: Easy Practical Task 4,"A easy-level, course-ready exercise focused on Collections in Python. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Python,Beginner,"python,collections,easy","{""step_1"": ""Review the theoretical foundations of Collections within Python."", ""step_2"": ""Implement a concise example demonstrating Collections."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Collections in Python."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=b8f53d99746,https://docs.python.org/3/#3a84ae4a
python-list-comprehensions,List Comprehensions: Easy Practical Task 5,"A easy-level, course-ready exercise focused on List Comprehensions in Python. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Python,Beginner,"python,list,easy","{""step_1"": ""Review the theoretical foundations of List Comprehensions within Python."", ""step_2"": ""Implement a concise example demonstrating List Comprehensions."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for List Comprehensions in Python."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=7d6449d49ae,https://docs.python.org/3/#639e1c26
python-file-io,File I/O: Easy Practical Task 6,"A easy-level, course-ready exercise focused on File I/O in Python. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Python,Beginner,"python,file,easy","{""step_1"": ""Review the theoretical foundations of File I/O within Python."", ""step_2"": ""Implement a concise example demonstrating File I/O."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for File I/O in Python."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=8157d4017bb,https://docs.python.org/3/#49feb2b4
python-error-handling,Error Handling: Easy Practical Task 7,"A easy-level, course-ready exercise focused on Error Handling in Python. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Python,Beginner,"python,error,easy","{""step_1"": ""Review the theoretical foundations of Error Handling within Python."", ""step_2"": ""Implement a concise example demonstrating Error Handling."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Error Handling in Python."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=0c35c8f23b7,https://docs.python.org/3/#efa94131
python-modules-packages,Modules & Packages: Easy Practical Task 8,"A easy-level, course-ready exercise focused on Modules & Packages in Python. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Python,Beginner,"python,modules,easy","{""step_1"": ""Review the theoretical foundations of Modules & Packages within Python."", ""step_2"": ""Implement a concise example demonstrating Modules & Packages."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Modules & Packages in Python."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=30c531b6f93,https://docs.python.org/3/#e25e45d3
python-virtual-environments,Virtual Environments: Easy Practical Task 9,"A easy-level, course-ready exercise focused on Virtual Environments in Python. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Python,Beginner,"python,virtual,easy","{""step_1"": ""Review the theoretical foundations of Virtual Environments within Python."", ""step_2"": ""Implement a concise example demonstrating Virtual Environments."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Virtual Environments in Python."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=e0bcebd87b2,https://docs.python.org/3/#ad6119fd
